_id,wkb_geometry,country,project name,type,status,capacity (mw),year of completion,country list of sponsor/developer,sponsor/developer company,country list of lender/financier,lender/financier company,country list of construction/epc,construction company/epc participant,country_1,province/state,district,tributary,latitude,longitude,proximity,avg. annual output (mwh),data source,announcement/more information,link
534,0101000020E6100000F4FDD478E9B25940B858518369C83340,Laos,Nam Khan 1,Hydro,Under Construction,101.8,2019,,,,,,,Laos,Louangphrabang,Phonxay,Nam Khan,19.78286,102.7955,,,WLE Mekong,https://wle-mekong.cgiar.org,
535,0101000020E61000007958A835CDD35940975643E21E233340,Laos,Nam Pot 1,Hydro,Under Construction,20,,,,,,,,Laos,Xiangkhoang,Phaxay,Nam Ngiep,19.13719,103.3094,,,WLE Mekong,https://wle-mekong.cgiar.org,
536,0101000020E6100000AA60545227A85A40293FA9F6E9382E40,Laos,Xe Nam Noy 2-Xe Katam 1,Hydro,Under Construction,19.8,,Laos; Thailand,"Xe Namnoy and Xe Katam Hydropower Co., joint venture between SV Group and B. Grimm Power Pcl",,,,,Laos,Champasak,Paksong,Sekong,15.11116,106.6274,"Actual location unknown, currently sited at locality in link/announcement",,WLE Mekong,"https://wle-mekong.cgiar.org, https://csenergycompany.com/power-plants-in-operation/, https://cdm.unfccc.int/filestorage/Z/9/C/Z9CFOGMD15JBWA2S3NRELHXIU48Y6Q/PDD%20Ver.02.0_Xe%20Namnoy%202%20-%20Xe%20Katam%201?t=VnB8cHhsMWxhfDCMKh1D_fSGUotMtutJbs-_",
537,0101000020E6100000E78C28ED0DCE59402DEC6987BFB63540,Vietnam,Long Tao (Thủy điện Long Tạo),Hydro,Under Construction,42,2020,Vietnam,Long Tao Dien Bien JSC,,,Vietnam,SONG DA 5 JOINT STOCK COMPANY,Vietnam,Điện Biên,Tuần Giáo,Black-Li Xian,21.71386,103.2196,,,Sponsor Website,https://songda5.com.vn/en/project/long-tao-hydropower-project.html,
538,0101000020E61000003B70CE88D2CA59408655BC9179543640,Vietnam,Nam Ban 1 (Thủy điện Nậm Ban 1),Hydro,Under Construction,6.3,2019,Vietnam,CTCP ĐTXD; TM Hưng Hải - Tập đoàn Hưng Hải,,,,,Vietnam,Lai Châu,Sìn Hồ,Black-Li Xian,22.32998,103.1691,,,Wikipedia,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_N%E1%BA%ADm_Ban,
539,0101000020E61000008CB96B09F9C859403659A31EA2613640,Vietnam,Nam Ban 2 (Thủy điện Nậm Ban 2),Hydro,Under Construction,22,2018,Vietnam,CTCP ĐTXD; TM Hưng Hải - Tập đoàn Hưng Hải,,,,,Vietnam,Lai Châu,Nậm Nhùn,Black-Li Xian,22.38138,103.1402,,,Wikipedia,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_N%E1%BA%ADm_Ban,
540,0101000020E6100000DE02098A1FCB5940F870C971A75C3640,Vietnam,Nam Ban 3 (Thủy điện Nậm Ban 3),Hydro,Under Construction,22,2018,Vietnam,CTCP ĐTXD; TM Hưng Hải - Tập đoàn Hưng Hải,,,,,Vietnam,Lai Châu,Nậm Nhùn,Black-Li Xian,22.36193,103.1738,,,Wikipedia,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_N%E1%BA%ADm_Ban,
541,0101000020E610000091ED7C3F35DE594068E89FE062853640,Vietnam,Nam Pac (Thủy điện Nậm Pạc),Hydro,Under Construction,34,2020,Vietnam,tập đoàn KOSY,,,,,Vietnam,Lai Châu,Phong Thổ,Black-Li Xian,22.52104,103.472,,,Sponsor Website,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_N%E1%BA%ADm_P%E1%BA%A1c,http://kosy.vn/du-an/nha-may-thuy-dien-nam-pac-1-7.html
542,0101000020E6100000832F4CA60A3E5A4088BA0F406A333340,Vietnam,Nam Pan 5 (Thủy điện Nậm Pàn 5),Hydro,Under Construction,32,,,,,,,,Vietnam,Nghệ An,Con Cuông,Song Ca,19.20084,104.9694,"Actual location unknown, currently sited at locality in link/announcement",,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf,
543,0101000020E6100000F5DBD78173AA5940FDF675E09C713640,Vietnam,Nam Si Luong 1 (Thủy điện Nậm Sì Lường 1),Hydro,Under Construction,30,2019,Vietnam,Công ty Cổ phần thủy điện Nậm Sì Lường 1,Vietnam,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam (Vietnam),,,Vietnam,Lai Châu,Mường Tè,Black-Li Xian,22.4438,102.6633,,,Vietnam Electricity,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_N%E1%BA%ADm_S%C3%AC_L%C6%B0%E1%BB%9Dng,https://baolaichau.vn/kinh-t%E1%BA%BF/n%E1%BB%97-l%E1%BB%B1c-%C4%91%E1%BA%A9y-nhanh-ti%E1%BA%BFn-%C4%91%E1%BB%99-tri%E1%BB%83n-khai-c%C3%A1c-d%E1%BB%B1-%C3%A1n?page=0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C4
544,0101000020E6100000F5DBD78173AA5940FDF675E09C713640,Vietnam,Nam Si Luong 3 (Thủy điện Nậm Sì Lường 3),Hydro,Under Construction,21,2020,Vietnam,Công ty cổ phần Sông Đà 705 (Vietnam),Vietnam,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam (Vietnam),,,Vietnam,Lai Châu,Mường Tè,Black-Li Xian,22.4438,102.6633,,,Vietnam Electricity,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_N%E1%BA%ADm_S%C3%AC_L%C6%B0%E1%BB%9Dng,https://thuvienphapluat.vn/van-ban/bat-dong-san/Nghi-quyet-17-NQ-HDND-2019-Danh-muc-chuyen-muc-dich-su-dung-dat-trong-lua-Lai-Chau-424056.aspx
545,0101000020E6100000F5DBD78173AA5940FDF675E09C713640,Vietnam,Nam Si Luong 4 (Thủy điện Nậm Sì Lường 4),Hydro,Under Construction,20,2020,Vietnam,Công ty cổ phần Sông Đà 705 (Vietnam),Vietnam,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam (Vietnam),,,Vietnam,Lai Châu,Mường Tè,Black-Li Xian,22.4438,102.6633,,,Vietnam Electricity,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_N%E1%BA%ADm_S%C3%AC_L%C6%B0%E1%BB%9Dng,http://songda4.vn/du-an-cong-trinh/cong-trinh-lam-thau-chinh/cong-trinh-thuy-dien-nam-si-luong-4
546,0101000020E61000006B9A779CA2FB59407FFB3A70CE483640,Vietnam,Nam Toong,Hydro,Under Construction,34,,Vietnam,Sa Pa Northern Electrical Development (Vietnam),,,China,"Zhejiang Hydropower Construction and Installation Co., Ltd (China)",Vietnam,Lào Cai,Sa Pa,Red Mainstem and Delta,22.2844,103.9318,,,Vietnam Electricity,"https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf
 https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1343185387.3/view",
547,0101000020E6100000CEAACFD556E8584013F241CF66D52940,Thailand,Kang Krachan Dam Irrigation Microhydro,Hydro,Operational,0.69,,Thailand,EGAT (Thailand),,,,,Thailand,Phetchaburi,Kaeng Krachan,Mae Nam Phet Buri,12.9168,99.6303,,,UNFCCC,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1355380179.24/view,
548,0101000020E6100000DFE00B93A9AA5840AEB6627FD95D2340,Thailand,Khlong Ruea Off-Grid Hydropower Project,Hydro,Operational,0.1,,,,,,,,Thailand,Chumphon,Phato,Nam Lang Suan,9.6833,98.6666,,,Greenhouse Gas Reduction Mechanism (GGRM),http://ghgreduction.tgo.or.th/tver-database-and-statistics/t-ver-registered-project/item/792-khlongruea-off-grid-hydropower-project.html,
549,0101000020E61000001FF46C567DC25840E2AFC91AF5283340,Thailand,Mae Ngat Somboonchol Dam Irrigation Microhydro,Hydro,Operational,1.9,,Thailand,EGAT (Thailand),,,,,Thailand,Chiang Mai,Mae Taeng,Chao Phraya-Ping,19.15999,99.0389,,,UNFCCC,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1355380179.24/view,
